10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	87	90	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	63	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
10	12	32	56	67	78	23	45	56	34	12	34	23	56	90	12	12	32	56	67
23	18	47	47	67	78	23	36	65	67	23	45	23	56	45	10	12	32	56	67
